id,type
melanoma_10052,benign
melanoma_10456,malignant
melanoma_10002,benign
melanoma_10089,benign
melanoma_10141,benign
melanoma_9733,benign
melanoma_10148,malignant
melanoma_10214,malignant
melanoma_9655,benign
melanoma_10475,malignant
melanoma_10271,malignant
melanoma_10192,malignant
melanoma_9947,benign
melanoma_10296,malignant
melanoma_10077,malignant
melanoma_9871,benign
melanoma_10104,benign
melanoma_10247,malignant
melanoma_10102,malignant
melanoma_10212,malignant
melanoma_10421,malignant
melanoma_9961,benign
melanoma_9635,benign
melanoma_10122,malignant
melanoma_10107,benign
melanoma_10551,malignant
melanoma_10228,malignant
melanoma_10348,malignant
melanoma_9715,benign
melanoma_10065,benign
melanoma_10154,benign
melanoma_10252,malignant
melanoma_10345,malignant
melanoma_10059,benign
melanoma_9686,benign
melanoma_10310,malignant
melanoma_10215,malignant
melanoma_9693,benign
melanoma_10358,malignant
melanoma_10515,malignant
melanoma_10097,benign
melanoma_10130,benign
melanoma_10221,malignant
melanoma_9959,benign
melanoma_10235,malignant
melanoma_10465,malignant
melanoma_10326,malignant
melanoma_10028,benign
melanoma_9778,benign
melanoma_10352,malignant
melanoma_9799,benign
melanoma_10550,malignant
melanoma_10416,malignant
melanoma_10191,malignant
melanoma_10189,malignant
melanoma_9770,benign
melanoma_10374,malignant
melanoma_9769,malignant
melanoma_9683,benign
melanoma_9781,benign
melanoma_10422,malignant
melanoma_10032,benign
melanoma_10173,malignant
melanoma_9916,benign
melanoma_9832,malignant
melanoma_10325,malignant
melanoma_10234,malignant
melanoma_9794,benign
melanoma_9856,benign
melanoma_10071,benign
melanoma_10258,malignant
melanoma_10043,benign
melanoma_9752,benign
melanoma_9755,benign
melanoma_9708,malignant
melanoma_9668,benign
melanoma_9767,benign
melanoma_10556,malignant
melanoma_10304,malignant
melanoma_10443,malignant
melanoma_9707,benign
melanoma_10354,malignant
melanoma_9811,benign
melanoma_10362,malignant
melanoma_9744,benign
melanoma_10599,malignant
melanoma_9837,benign
melanoma_10058,benign
melanoma_9740,benign
melanoma_9852,benign
melanoma_10001,benign
melanoma_10105,malignant
melanoma_9801,benign
melanoma_10174,malignant
melanoma_10366,malignant
melanoma_10380,malignant
melanoma_9779,benign
melanoma_9986,benign
melanoma_9774,benign
melanoma_10477,malignant
melanoma_10533,malignant
melanoma_10324,malignant
melanoma_9990,benign
melanoma_10024,benign
melanoma_10502,malignant
melanoma_10409,malignant
melanoma_10457,malignant
melanoma_10447,malignant
melanoma_9745,benign
melanoma_9836,malignant
melanoma_9680,benign
melanoma_10253,malignant
melanoma_9757,benign
melanoma_9955,benign
melanoma_9709,benign
melanoma_9656,benign
melanoma_10005,benign
melanoma_10068,benign
melanoma_10399,malignant
melanoma_10593,malignant
melanoma_9940,benign
melanoma_9729,benign
melanoma_10481,malignant
melanoma_10544,malignant
melanoma_9613,malignant
melanoma_10513,malignant
melanoma_10404,malignant
melanoma_10529,malignant
melanoma_9950,benign
melanoma_9854,benign
melanoma_10539,malignant
melanoma_9967,benign
melanoma_9802,benign
melanoma_9954,benign
melanoma_9650,benign
melanoma_9714,malignant
melanoma_10524,malignant
melanoma_10387,malignant
melanoma_10430,malignant
melanoma_9925,benign
melanoma_9904,benign
melanoma_9789,benign
melanoma_9938,benign
melanoma_10382,malignant
melanoma_9634,benign
melanoma_9760,benign
melanoma_10233,malignant
melanoma_10025,malignant
melanoma_9958,benign
melanoma_10597,benign
melanoma_10062,benign
melanoma_10213,malignant
melanoma_10256,malignant
melanoma_10267,malignant
melanoma_10414,malignant
melanoma_10009,benign
melanoma_10029,benign
melanoma_10353,malignant
melanoma_9910,benign
melanoma_9661,benign
melanoma_9901,malignant
melanoma_9747,benign
melanoma_10153,malignant
melanoma_10113,malignant
melanoma_9862,benign
melanoma_10568,benign
melanoma_10316,malignant
melanoma_10237,malignant
melanoma_9611,benign
melanoma_9629,benign
melanoma_10018,benign
melanoma_9704,benign
melanoma_9876,benign
melanoma_10340,malignant
melanoma_10197,malignant
melanoma_9809,benign
melanoma_9763,malignant
melanoma_9932,benign
melanoma_10082,benign
melanoma_9908,benign
melanoma_10051,benign
melanoma_10095,benign
melanoma_10014,benign
melanoma_10022,benign
melanoma_10168,malignant
melanoma_10363,malignant
melanoma_10137,benign
melanoma_10333,malignant
melanoma_10594,benign
melanoma_10042,malignant
melanoma_10579,malignant
melanoma_10468,malignant
melanoma_9997,benign
melanoma_9957,benign
melanoma_9861,benign
melanoma_10394,malignant
melanoma_10227,malignant
melanoma_10261,malignant
melanoma_10035,benign
melanoma_9987,benign
melanoma_10158,malignant
melanoma_10434,malignant
melanoma_9933,benign
melanoma_9737,benign
melanoma_9797,benign
melanoma_10603,benign
melanoma_9623,benign
melanoma_10091,malignant
melanoma_9893,benign
melanoma_9888,benign
melanoma_9890,benign
melanoma_9868,benign
melanoma_10061,benign
melanoma_9711,benign
melanoma_9877,malignant
melanoma_9645,benign
melanoma_10194,malignant
melanoma_10484,malignant
melanoma_9626,benign
melanoma_10321,malignant
melanoma_9878,benign
melanoma_9858,benign
melanoma_10183,malignant
melanoma_10017,benign
melanoma_9776,benign
melanoma_10000,benign
melanoma_10553,malignant
melanoma_10165,malignant
melanoma_10585,benign
melanoma_9815,benign
melanoma_10269,malignant
melanoma_10543,malignant
melanoma_10559,malignant
melanoma_10040,benign
melanoma_10303,malignant
melanoma_10292,malignant
melanoma_10201,malignant
melanoma_10487,malignant
melanoma_10060,benign
melanoma_9988,benign
melanoma_10172,malignant
melanoma_9948,benign
melanoma_9857,malignant
melanoma_10525,malignant
melanoma_9666,benign
melanoma_10527,malignant
melanoma_10199,malignant
melanoma_10182,malignant
melanoma_9764,benign
melanoma_10239,malignant
melanoma_10503,malignant
melanoma_9678,benign
melanoma_9732,benign
melanoma_10185,malignant
melanoma_9984,benign
melanoma_9873,benign
melanoma_10026,benign
melanoma_10514,malignant
melanoma_10386,malignant
melanoma_10313,malignant
melanoma_10602,benign
melanoma_9897,benign
melanoma_9651,malignant
melanoma_10251,malignant
melanoma_10284,malignant
melanoma_10170,malignant
melanoma_10577,malignant
melanoma_9659,benign
melanoma_10144,malignant
melanoma_9624,benign
melanoma_10282,malignant
melanoma_10511,malignant
melanoma_9622,benign
melanoma_10562,malignant
melanoma_10179,malignant
melanoma_9615,malignant
melanoma_10057,benign
melanoma_9690,benign
melanoma_9840,benign
melanoma_10454,malignant
melanoma_10445,malignant
melanoma_10555,malignant
melanoma_9970,benign
melanoma_9881,benign
melanoma_10127,benign
melanoma_10425,malignant
melanoma_10466,malignant
melanoma_9625,malignant
melanoma_9694,benign
melanoma_10262,malignant
melanoma_10521,malignant
melanoma_10079,benign
melanoma_10030,benign
melanoma_10072,benign
melanoma_9895,benign
melanoma_9700,benign
melanoma_10277,malignant
melanoma_9952,malignant
melanoma_9839,benign
melanoma_10055,benign
melanoma_10196,malignant
melanoma_10205,malignant
melanoma_10242,malignant
melanoma_10356,malignant
melanoma_10344,benign
melanoma_10547,malignant
melanoma_9812,benign
melanoma_9749,benign
melanoma_9866,benign
melanoma_9682,benign
melanoma_10587,benign
melanoma_10236,malignant
melanoma_10498,malignant
melanoma_10483,malignant
melanoma_10541,malignant
melanoma_10470,malignant
melanoma_10590,benign
melanoma_10512,malignant
melanoma_9713,benign
melanoma_10415,malignant
melanoma_9646,benign
melanoma_10181,malignant
melanoma_10249,malignant
melanoma_10398,malignant
melanoma_9731,malignant
melanoma_9920,benign
melanoma_10273,malignant
melanoma_9962,benign
melanoma_10246,malignant
melanoma_10080,malignant
melanoma_10078,benign
melanoma_9823,benign
melanoma_9648,malignant
melanoma_10111,malignant
melanoma_10496,malignant
melanoma_9822,benign
melanoma_10280,malignant
melanoma_10453,malignant
melanoma_10516,malignant
melanoma_9698,benign
melanoma_9900,benign
melanoma_10136,benign
melanoma_10143,malignant
melanoma_10302,malignant
melanoma_10441,malignant
melanoma_10139,benign
melanoma_10500,malignant
melanoma_9941,benign
melanoma_10554,malignant
melanoma_10542,malignant
melanoma_9719,benign
melanoma_9976,benign
melanoma_9773,benign
melanoma_9942,benign
melanoma_10085,benign
melanoma_10476,malignant
melanoma_10530,malignant
melanoma_10208,malignant
melanoma_10581,malignant
melanoma_10299,malignant
melanoma_10124,benign
melanoma_10027,malignant
melanoma_10459,malignant
melanoma_10531,malignant
melanoma_9924,malignant
melanoma_9879,malignant
melanoma_10495,malignant
melanoma_10558,malignant
melanoma_9616,benign
melanoma_10439,malignant
melanoma_9699,benign
melanoma_10255,malignant
melanoma_9927,benign
melanoma_10437,malignant
melanoma_9688,benign
melanoma_10123,benign
melanoma_9695,benign
melanoma_10564,benign
melanoma_9928,benign
melanoma_10147,benign
melanoma_10289,malignant
melanoma_10535,malignant
melanoma_10402,malignant
melanoma_10436,malignant
melanoma_10540,malignant
melanoma_9672,benign
melanoma_9891,malignant
melanoma_9637,benign
melanoma_10359,malignant
melanoma_10109,malignant
melanoma_10574,malignant
melanoma_9722,benign
melanoma_10092,benign
melanoma_10238,malignant
melanoma_10094,malignant
melanoma_9772,benign
melanoma_9632,benign
melanoma_10472,malignant
melanoma_9777,malignant
melanoma_9914,malignant
melanoma_9654,benign
melanoma_10418,malignant
melanoma_9937,benign
melanoma_9689,benign
melanoma_9865,benign
melanoma_9662,benign
melanoma_9971,malignant
melanoma_10576,benign
melanoma_9775,benign
melanoma_10220,malignant
melanoma_10589,malignant
melanoma_10157,malignant
melanoma_10211,malignant
melanoma_9701,benign
melanoma_9748,benign
melanoma_10015,benign
melanoma_10306,malignant
melanoma_9691,benign
melanoma_9712,benign
melanoma_9642,benign
melanoma_9736,benign
melanoma_10160,malignant
melanoma_10403,malignant
melanoma_9696,benign
melanoma_10257,malignant
melanoma_10442,malignant
melanoma_10552,malignant
melanoma_9780,benign
melanoma_10034,benign
melanoma_9607,benign
melanoma_10598,benign
melanoma_9621,malignant
melanoma_10301,malignant
melanoma_10069,benign
melanoma_9980,benign
melanoma_9677,benign
melanoma_9718,benign
melanoma_10365,malignant
melanoma_10327,malignant
melanoma_9981,benign
melanoma_9766,benign
melanoma_9860,benign
melanoma_10100,benign
melanoma_9627,benign
melanoma_10254,malignant
melanoma_10307,malignant
melanoma_10232,malignant
melanoma_9706,malignant
melanoma_9630,benign
melanoma_10446,malignant
melanoma_9850,benign
melanoma_10037,benign
melanoma_9847,benign
melanoma_10561,benign
melanoma_10389,malignant
melanoma_10377,malignant
melanoma_10462,malignant
melanoma_10408,malignant
melanoma_10528,malignant
melanoma_9636,malignant
melanoma_10219,malignant
melanoma_10128,malignant
melanoma_9786,benign
melanoma_10388,malignant
melanoma_10087,benign
melanoma_10162,malignant
melanoma_9761,benign
melanoma_9758,benign
melanoma_10526,malignant
melanoma_10534,malignant
melanoma_10011,benign
melanoma_10566,benign
melanoma_9791,benign
melanoma_9863,benign
melanoma_10395,malignant
melanoma_9741,benign
melanoma_10134,benign
melanoma_9641,benign
melanoma_10560,malignant
melanoma_10334,malignant
melanoma_10520,malignant
melanoma_9931,benign
melanoma_10522,malignant
melanoma_9869,benign
melanoma_9771,benign
melanoma_9826,benign
melanoma_10177,malignant
melanoma_9833,benign
melanoma_10064,benign
melanoma_10129,benign
melanoma_10448,malignant
melanoma_10169,malignant
melanoma_10390,malignant
melanoma_10569,benign
melanoma_10195,malignant
melanoma_9735,malignant
melanoma_9631,benign
melanoma_9944,benign
melanoma_9644,benign
melanoma_10318,malignant
melanoma_10588,benign
melanoma_10297,malignant
melanoma_10279,malignant
melanoma_10379,malignant
melanoma_10010,benign
melanoma_10371,malignant
melanoma_9768,malignant
melanoma_10410,malignant
melanoma_10467,malignant
melanoma_9830,benign
melanoma_10505,malignant
melanoma_9974,benign
melanoma_9885,benign
melanoma_9845,benign
melanoma_9886,benign
melanoma_9788,benign
melanoma_10536,malignant
melanoma_9821,benign
melanoma_9750,benign
melanoma_10332,malignant
melanoma_9969,benign
melanoma_9864,benign
melanoma_10226,malignant
melanoma_9843,benign
melanoma_9783,benign
melanoma_9606,benign
melanoma_10493,malignant
melanoma_9643,malignant
melanoma_9739,malignant
melanoma_10053,benign
melanoma_9979,benign
melanoma_10538,malignant
melanoma_9985,benign
melanoma_10393,malignant
melanoma_10243,malignant
melanoma_9785,benign
melanoma_9917,benign
melanoma_10507,malignant
melanoma_10342,benign
melanoma_9824,benign
melanoma_9784,benign
melanoma_10176,malignant
melanoma_10133,malignant
melanoma_9991,benign
melanoma_10004,benign
melanoma_10276,malignant
melanoma_10193,malignant
melanoma_10250,malignant
melanoma_10075,benign
melanoma_10311,malignant
melanoma_9702,benign
melanoma_9953,benign
melanoma_9612,benign
melanoma_10567,malignant
melanoma_10209,malignant
melanoma_9995,benign
melanoma_10036,benign
melanoma_10455,malignant
melanoma_10449,malignant
melanoma_10546,malignant
melanoma_10368,malignant
melanoma_10119,benign
melanoma_10509,malignant
melanoma_10591,malignant
melanoma_10131,malignant
melanoma_9999,benign
melanoma_9842,benign
melanoma_9717,benign
melanoma_9945,benign
melanoma_10149,malignant
melanoma_10548,malignant
melanoma_10335,malignant
melanoma_10320,malignant
melanoma_9921,benign
melanoma_10096,benign
melanoma_10287,malignant
melanoma_10020,benign
melanoma_10537,malignant
melanoma_10156,malignant
melanoma_9782,benign
melanoma_9805,benign
melanoma_10210,malignant
melanoma_10244,malignant
melanoma_10138,malignant
melanoma_9681,benign
melanoma_9697,benign
melanoma_9633,benign
melanoma_10486,malignant
melanoma_10391,malignant
melanoma_10166,malignant
melanoma_10216,malignant
melanoma_9610,benign
melanoma_10586,malignant
melanoma_10427,malignant
melanoma_9827,malignant
melanoma_10565,benign
melanoma_10101,benign
melanoma_10103,benign
melanoma_10190,malignant
melanoma_10204,malignant
melanoma_9703,malignant
melanoma_10230,malignant
melanoma_10330,malignant
melanoma_10117,malignant
melanoma_10200,malignant
melanoma_9992,benign
melanoma_10167,malignant
melanoma_9855,benign
melanoma_10266,malignant
melanoma_10573,malignant
melanoma_10049,benign
melanoma_10385,malignant
melanoma_10396,malignant
melanoma_10048,benign
melanoma_10376,malignant
melanoma_9818,malignant
melanoma_10164,malignant
melanoma_10370,malignant
melanoma_9993,benign
melanoma_10583,malignant
melanoma_10452,malignant
melanoma_9875,benign
melanoma_10093,malignant
melanoma_9926,benign
melanoma_10291,malignant
melanoma_10518,malignant
melanoma_10412,malignant
melanoma_9923,benign
melanoma_10108,benign
melanoma_9909,benign
melanoma_10086,benign
melanoma_9935,benign
melanoma_10115,malignant
melanoma_10373,malignant
melanoma_10423,malignant
melanoma_10570,malignant
melanoma_10056,benign
melanoma_10106,malignant
melanoma_10275,malignant
melanoma_9724,benign
melanoma_9807,benign
melanoma_10073,benign
melanoma_10225,malignant
melanoma_10178,malignant
melanoma_10206,malignant
melanoma_10435,malignant
melanoma_9951,benign
melanoma_9994,benign
melanoma_10241,malignant
melanoma_9903,benign
melanoma_10163,benign
melanoma_9978,benign
melanoma_10401,malignant
melanoma_9882,benign
melanoma_9673,benign
melanoma_10270,malignant
melanoma_9759,benign
melanoma_9964,benign
melanoma_10110,benign
melanoma_10171,malignant
melanoma_10281,malignant
melanoma_9966,benign
melanoma_10485,malignant
melanoma_9614,benign
melanoma_10067,benign
melanoma_9730,malignant
melanoma_10440,malignant
melanoma_10070,benign
melanoma_10406,malignant
melanoma_10504,malignant
melanoma_9907,benign
melanoma_9734,benign
melanoma_10519,malignant
melanoma_10411,malignant
melanoma_10066,malignant
melanoma_10285,malignant
melanoma_9705,benign
melanoma_10142,benign
melanoma_10338,malignant
melanoma_10295,malignant
melanoma_10491,malignant
melanoma_10600,malignant
melanoma_9647,benign
melanoma_9848,benign
melanoma_9665,benign
melanoma_10081,benign
melanoma_10021,benign
melanoma_9946,benign
melanoma_10186,malignant
melanoma_9687,benign
melanoma_10099,benign
melanoma_10013,malignant
melanoma_10090,benign
melanoma_10578,malignant
melanoma_10489,malignant
melanoma_9973,benign
melanoma_10557,malignant
melanoma_10294,malignant
melanoma_9919,benign
melanoma_10471,malignant
melanoma_10054,benign
melanoma_10140,benign
melanoma_9899,benign
melanoma_10331,malignant
melanoma_9669,malignant
melanoma_10580,benign
melanoma_9765,benign
melanoma_10114,malignant
melanoma_9872,benign
melanoma_9849,benign
melanoma_10263,malignant
melanoma_10161,malignant
melanoma_10033,benign
melanoma_9692,benign
melanoma_10328,malignant
melanoma_10012,benign
melanoma_10074,benign
melanoma_9639,benign
melanoma_10098,benign
melanoma_10571,benign
melanoma_9902,benign
melanoma_10125,malignant
melanoma_9956,benign
melanoma_10595,malignant
melanoma_9898,benign
melanoma_9710,benign
melanoma_10063,benign
melanoma_9905,benign
melanoma_10308,malignant
melanoma_10288,malignant
melanoma_9912,benign
melanoma_10229,malignant
melanoma_9762,benign
melanoma_10031,benign
melanoma_10329,malignant
melanoma_9653,benign
melanoma_10575,benign
melanoma_10479,malignant
melanoma_10175,malignant
melanoma_10375,malignant
melanoma_10523,malignant
melanoma_10180,malignant
melanoma_10407,malignant
melanoma_10309,malignant
melanoma_10494,malignant
melanoma_10451,malignant
melanoma_9934,malignant
melanoma_9754,benign
melanoma_10245,malignant
melanoma_10207,malignant
melanoma_10563,malignant
melanoma_10184,malignant
melanoma_10501,malignant
melanoma_9841,benign
melanoma_9851,benign
melanoma_10203,malignant
melanoma_9922,benign
melanoma_10126,benign
melanoma_9638,malignant
melanoma_10337,malignant
melanoma_10159,malignant
melanoma_9989,benign
melanoma_9817,benign
melanoma_10431,malignant
melanoma_10347,malignant
melanoma_9859,benign
melanoma_10315,malignant
melanoma_9800,benign
melanoma_9808,benign
melanoma_9846,benign
melanoma_9883,benign
melanoma_9820,benign
melanoma_10478,malignant
melanoma_10545,malignant
melanoma_10426,malignant
melanoma_10355,malignant
melanoma_10041,benign
melanoma_10584,malignant
melanoma_9977,benign
melanoma_10290,malignant
melanoma_10231,malignant
melanoma_9939,benign
melanoma_9831,malignant
melanoma_10417,malignant
melanoma_10202,malignant
melanoma_10506,malignant
melanoma_10019,benign
melanoma_9968,benign
melanoma_10405,malignant
melanoma_9816,benign
melanoma_9795,benign
melanoma_10420,malignant
melanoma_10278,malignant
melanoma_9936,benign
melanoma_10317,malignant
melanoma_9889,benign
melanoma_9892,benign
melanoma_9880,benign
melanoma_9609,benign
melanoma_9828,malignant
melanoma_9887,benign
melanoma_10083,malignant
melanoma_10322,malignant
melanoma_10076,benign
melanoma_9918,benign
melanoma_10150,malignant
melanoma_10469,malignant
melanoma_10112,benign
melanoma_9963,benign
melanoma_10044,benign
melanoma_10224,malignant
melanoma_10260,malignant
melanoma_9998,benign
melanoma_10300,malignant
melanoma_10349,malignant
melanoma_10248,malignant
melanoma_10047,malignant
melanoma_10116,benign
melanoma_9929,benign
melanoma_10188,malignant
melanoma_10121,malignant
melanoma_10155,malignant
melanoma_9798,malignant
melanoma_10474,malignant
melanoma_10510,malignant
melanoma_9674,malignant
melanoma_10222,malignant
melanoma_10293,malignant
melanoma_10314,benign
melanoma_10499,malignant
melanoma_10432,malignant
melanoma_10312,malignant
melanoma_9960,benign
melanoma_10151,benign
melanoma_10438,malignant
melanoma_10305,malignant
melanoma_9870,malignant
melanoma_9619,benign
melanoma_10286,malignant
melanoma_10450,malignant
melanoma_10198,malignant
melanoma_9716,benign
melanoma_9810,benign
melanoma_10433,malignant
melanoma_10336,malignant
melanoma_10038,benign
melanoma_10046,benign
melanoma_10088,benign
melanoma_9657,benign
melanoma_9806,benign
melanoma_9972,benign
melanoma_9751,benign
melanoma_9663,benign
melanoma_9943,benign
melanoma_10480,malignant
melanoma_10384,malignant
melanoma_10120,malignant
melanoma_9628,benign
melanoma_10006,benign
melanoma_10490,malignant
melanoma_9725,benign
melanoma_9834,benign
melanoma_9743,benign
melanoma_10045,benign
melanoma_10549,malignant
melanoma_9825,benign
melanoma_9884,benign
melanoma_10346,malignant
melanoma_10464,malignant
melanoma_9803,benign
melanoma_10361,malignant
melanoma_9844,benign
melanoma_9684,benign
melanoma_9819,benign
melanoma_9608,benign
melanoma_10458,malignant
melanoma_9982,benign
melanoma_9670,benign
melanoma_9658,benign
melanoma_10383,malignant
melanoma_9915,malignant
melanoma_9679,benign
melanoma_10463,malignant
melanoma_9949,benign
melanoma_10444,malignant
melanoma_10218,malignant
melanoma_10492,malignant
melanoma_9814,benign
melanoma_10265,malignant
melanoma_9796,benign
melanoma_9649,benign
melanoma_9838,benign
